,1,2,3,4,5
bacteria1,100000,50000,100000,100000,50000
bacteria2,100000,50000,100000,100000,50000
bacteria3,100000,50000,100000,100000,50000
Pa,20,20,20,20,20
Pb,100,100,100,100,100
S,20,20,20,20,20
C,100,100,100,100,100
T,100,100,100,100,100
V,20,20,20,20,20
M,20,20,20,20,20
E,20,20,20,20,20
B,100,100,100,100,100
